,Wd,We,"theta(Wd,We)"
0.0,0.6955302926067986,0.5778429071268436,-0.10327233665228958
0.07,0.7051465041651873,0.5904825708663756,-0.10372317530120305
0.14,0.7147627157235763,0.6031222346059079,-0.1041740139501165
0.21,0.724378927281965,0.6157618983454399,-0.10462485259902997
0.28,0.7339951388403538,0.628401562084972,-0.10507569124794343
0.35,0.7436113503987427,0.6410412258245042,-0.10552652989685689
0.42,0.7532275619571314,0.6536808895640364,-0.10597736854577035
0.49,0.7628437735155201,0.6663205533035684,-0.10642820719468378
0.56,0.7724599850739089,0.6789602170431006,-0.10687904584359724
0.63,0.7820761966322978,0.6915998807826328,-0.1073298844925107
0.7,0.7916924081906866,0.704239544522165,-0.10778072314142416
0.77,0.8013086197490753,0.716879208261697,-0.10823156179033762
0.84,0.8109248313074641,0.7295188720012292,-0.10868240043925108
0.91,0.8205410428658528,0.7421585357407613,-0.10913323908816454
0.98,0.8301572544242417,0.7547981994802935,-0.109584077737078
1.05,0.8397734659826306,0.7674378632198257,-0.11003491638599146
1.12,0.8493896775410194,0.7800775269593577,-0.11048575503490492
1.19,0.8590058890994081,0.7927171906988899,-0.11093659368381838
1.26,0.868622100657797,0.8053568544384221,-0.11138743233273182
1.33,0.8782383122161858,0.8179965181779542,-0.11183827098164527
1.4,0.8878545237745745,0.8306361819174863,-0.11228910963055874
1.47,0.8974707353329633,0.8432758456570185,-0.11273994827947219
1.54,0.9070869468913522,0.8559155093965506,-0.11319078692838566
1.61,0.9167031584497408,0.8685551731360828,-0.11364162557729912
1.68,0.9263193700081296,0.8811948368756148,-0.11409246422621258
1.75,0.9359355815665186,0.893834500615147,-0.11454330287512604
1.82,0.9455517931249072,0.9064741643546792,-0.1149941415240395
1.89,0.9551680046832961,0.9191138280942114,-0.11544498017295296
1.96,0.9647842162416849,0.9317534918337433,-0.11589581882186642
2.03,0.9744004278000736,0.9443931555732755,-0.11634665747077988
2.1,0.9840166393584625,0.9570328193128078,-0.11679749611969333
2.17,0.9936328509168513,0.9696724830523399,-0.11724833476860679
2.24,1.00324906247524,0.982312146791872,-0.11769917341752024
2.31,1.0128652740336288,0.9949518105314042,-0.11815001206643369
2.38,1.0224814855920177,1.0075914742709364,-0.11860085071534715
2.45,1.0320976971504063,1.0202311380104685,-0.11905168936426061
2.52,1.0417139087087952,1.0328708017500006,-0.11950252801317408
2.59,1.0513301202671839,1.0455104654895329,-0.11995336666208753
2.66,1.0609463318255727,1.058150129229065,-0.120404205311001
2.73,1.0705625433839614,1.070789792968597,-0.12085504395991445
2.8,1.0801787549423503,1.0834294567081293,-0.12130588260882792
2.87,1.0897949665007391,1.0960691204476616,-0.12175672125774137
2.94,1.099411178059128,1.1087087841871934,-0.12220755990665483
3.01,1.1090273896175167,1.1213484479267257,-0.12265839855556827
3.08,1.1186436011759056,1.1339881116662578,-0.12310923720448175
3.15,1.1282598127342944,1.1466277754057899,-0.1235600758533952
3.22,1.137876024292683,1.159267439145322,-0.12401091450230867
3.29,1.147492235851072,1.1719071028848542,-0.12446175315122211
3.36,1.1571084474094606,1.1845467666243863,-0.12491259180013557
3.43,1.1667246589678495,1.1971864303639184,-0.12536343044904902
3.5,1.1763408705262381,1.2098260941034507,-0.12581426909796248
3.57,1.185957082084627,1.2224657578429825,-0.12626510774687594
3.64,1.195573293643016,1.2351054215825148,-0.1267159463957894
3.71,1.2051895052014046,1.2477450853220469,-0.12716678504470286
3.78,1.2148057167597934,1.2603847490615792,-0.12761762369361632
3.85,1.2244219283181823,1.2730244128011114,-0.12806846234252978
3.92,1.234038139876571,1.2856640765406435,-0.12851930099144324
3.99,1.24365435143496,1.2983037402801756,-0.1289701396403567
4.06,1.2532705629933487,1.3109434040197077,-0.12942097828927016
4.13,1.2628867745517374,1.32358306775924,-0.12987181693818362
4.2,1.2725029861101265,1.336222731498772,-0.13032265558709705
4.27,1.2821191976685151,1.348862395238304,-0.13077349423601053
4.34,1.2917354092269038,1.3615020589778364,-0.13122433288492397
4.41,1.3013516207852927,1.3741417227173685,-0.13167517153383745
4.48,1.3109678323436815,1.3867813864569005,-0.13212601018275089
4.55,1.3205840439020702,1.3994210501964326,-0.13257684883166437
4.62,1.330200255460459,1.4120607139359649,-0.1330276874805778
4.69,1.339816467018848,1.424700377675497,-0.1334785261294913
4.76,1.3494326785772366,1.4373400414150292,-0.13392936477840472
4.83,1.3487393937184025,1.4348882087176336,-0.1343802034273182
4.9,1.3480461088595683,1.4324363760202383,-0.13483104207623164
4.97,1.3473528240007342,1.4299845433228426,-0.13528188072514508
5.04,1.3466595391418998,1.4275327106254472,-0.13573271937405856
5.11,1.3459662542830657,1.425080877928052,-0.13618355802297202
5.18,1.3452729694242316,1.4226290452306563,-0.13663439667188548
5.25,1.3445796845653974,1.4201772125332608,-0.13708523532079891
5.32,1.3438863997065633,1.4177253798358656,-0.1375360739697124
5.39,1.3431931148477292,1.4152735471384699,-0.13798691261862583
5.46,1.342499829988895,1.4128217144410744,-0.13843775126753932
5.53,1.341806545130061,1.410369881743679,-0.13888858991645278
5.6,1.341113260271227,1.4079180490462837,-0.13933942856536624
5.67,1.3404199754123924,1.4054662163488878,-0.1397902672142797
5.74,1.3397266905535583,1.4030143836514926,-0.14024110586319316
5.81,1.3390334056947244,1.4005625509540973,-0.1406919445121066
5.88,1.3383401208358903,1.3981107182567016,-0.14114278316102005
5.95,1.3376468359770561,1.3956588855593064,-0.14159362180993354
6.02,1.336953551118222,1.3932070528619107,-0.14204446045884697
6.09,1.3362602662593879,1.3907552201645155,-0.14249529910776043
6.16,1.3355669814005537,1.3883033874671198,-0.1429461377566739
6.23,1.3348736965417196,1.3858515547697243,-0.14339697640558738
6.3,1.3341804116828853,1.3833997220723289,-0.1438478150545008
6.37,1.3334871268240511,1.3809478893749334,-0.14429865370341427
6.44,1.332793841965217,1.378496056677538,-0.14474949235232773
6.51,1.3321005571063829,1.3760442239801425,-0.1452003310012412
6.58,1.3314072722475487,1.373592391282747,-0.14565116965015465
6.65,1.3307139873887146,1.3711405585853516,-0.14610200829906808
6.72,1.3300207025298805,1.368688725887956,-0.14655284694798154
6.79,1.3293274176710463,1.3662368931905606,-0.147003685596895
6.86,1.3286341328122122,1.363785060493165,-0.1474545242458085
6.93,1.3279408479533779,1.3613332277957697,-0.14790536289472192
7.0,1.327247563094544,1.3588813950983745,-0.1483562015436354
7.07,1.3265542782357096,1.3564295624009786,-0.14880704019254884
7.14,1.3258609933768757,1.3539777297035833,-0.14925787884146233
7.21,1.3251677085180413,1.3515258970061879,-0.14970871749037576
7.28,1.3244744236592074,1.3490740643087924,-0.15015955613928925
7.35,1.323781138800373,1.3466222316113972,-0.15061039478820268
7.42,1.3230878539415392,1.3441703989140015,-0.15106123343711617
7.49,1.3223945690827046,1.341718566216606,-0.1515120720860296
7.56,1.3217012842238707,1.3392667335192108,-0.15196291073494303
7.63,1.3210079993650365,1.336814900821815,-0.15241374938385652
7.7,1.3203147145062024,1.3343630681244196,-0.15286458803276995
7.77,1.319621429647368,1.3319112354270242,-0.15331542668168344
7.84,1.3189281447885342,1.329459402729629,-0.15376626533059687
7.91,1.3182348599297,1.3270075700322332,-0.15421710397951036
7.98,1.317541575070866,1.3245557373348378,-0.1546679426284238
8.05,1.3168482902120318,1.322103904637442,-0.15511878127733728
8.12,1.3161550053531974,1.3196520719400469,-0.1555696199262507
8.19,1.3154617204943633,1.3172002392426514,-0.1560204585751642
8.26,1.3147684356355291,1.314748406545256,-0.15647129722407763
8.33,1.314075150776695,1.3122965738478605,-0.1569221358729911
8.4,1.3133818659178609,1.3098447411504648,-0.15737297452190455
8.47,1.312688581059027,1.3073929084530695,-0.157823813170818
8.54,1.3119952962001926,1.3049410757556739,-0.15827465181973147
8.61,1.3113020113413587,1.3024892430582788,-0.15872549046864493
8.68,1.3106087264825246,1.3000374103608832,-0.15917632911755838
8.75,1.30991544162369,1.2975855776634877,-0.15962716776647182
8.82,1.309222156764856,1.295133744966092,-0.1600780064153853
8.89,1.3085288719060217,1.2926819122686968,-0.16052884506429876
8.96,1.3078355870471876,1.290230079571301,-0.16097968371321222
9.03,1.3071423021883537,1.2877782468739059,-0.16143052236212566
9.1,1.3064490173295193,1.2853264141765102,-0.16188136101103914
9.17,1.3057557324706854,1.2828745814791147,-0.1623321996599526
9.24,1.3050624476118513,1.2804227487817192,-0.16278303830886603
9.31,1.3043691627530172,1.277970916084324,-0.16323387695777952
9.38,1.3036758778941826,1.2755190833869285,-0.16368471560669295
9.45,1.3029825930353487,1.273067250689533,-0.16413555425560641
9.52,1.3030638826141645,1.2730498163035489,-0.16458639290451987
9.59,1.30314517219298,1.2730323819175644,-0.16503723155343333
9.66,1.3032264617717955,1.27301494753158,-0.1654880702023468
9.73,1.3033077513506113,1.2729975131455955,-0.16593890885126028
9.8,1.3033890409294266,1.272980078759611,-0.1663897475001737
9.87,1.3034703305082425,1.2729626443736266,-0.16684058614908717
9.94,1.303551620087058,1.2729452099876424,-0.16729142479800063
10.01,1.3036329096658736,1.272927775601658,-0.16774226344691406
10.08,1.3037141992446895,1.2729103412156737,-0.16819310209582755
10.15,1.303795488823505,1.2728929068296893,-0.16864394074474098
10.22,1.3038767784023209,1.2728754724437048,-0.16909477939365447
10.29,1.3039580679811362,1.2728580380577206,-0.1695456180425679
10.36,1.3040393575599518,1.272840603671736,-0.1699964566914814
10.43,1.3041206471387674,1.2728231692857515,-0.17044729534039482
10.5,1.304201936717583,1.2728057348997672,-0.1708981339893083
10.57,1.3042832262963988,1.2727883005137828,-0.17134897263822174
10.64,1.3043645158752144,1.2727708661277986,-0.17179981128713523
10.71,1.30444580545403,1.272753431741814,-0.17225064993604866
10.78,1.3045270950328456,1.2727359973558297,-0.1727014885849621
10.85,1.3046083846116612,1.2727185629698452,-0.17315232723387558
