,Wd,We,"theta(Wd,We)","x(Wd,We)","y(Wd,We)"
0.0,1.1508502169431087,0.9414553823249435,0.023852195139159867,0.0,1.4
0.07,1.1693216359317347,0.9656766043316405,0.02363008765424753,0.0,1.4
0.14,1.187793054920361,0.9898978263383377,0.02340798016933519,0.0,1.4
0.21,1.206264473908987,1.0141190483450346,0.02318587268442285,0.0,1.4
0.28,1.224735892897613,1.0383402703517317,0.02296376519951051,0.0,1.4
0.35,1.2432073118862392,1.0625614923584288,0.02274165771459817,0.0,1.4
0.42,1.2616787308748652,1.0867827143651259,0.022519550229685832,0.0,1.4
0.49,1.280150149863491,1.111003936371823,0.0222974427447735,0.0,1.4
0.56,1.2986215688521172,1.13522515837852,0.022075335259861162,0.0,1.4
0.63,1.3170929878407434,1.159446380385217,0.021853227774948823,0.0,1.4
0.7,1.3355644068293695,1.1836676023919144,0.021631120290036485,0.0,1.4
0.77,1.3540358258179954,1.2078888243986112,0.021409012805124146,0.0,1.4
0.84,1.3725072448066213,1.2321100464053083,0.021186905320211807,0.0,1.4
0.91,1.3909786637952475,1.2563312684120054,0.02096479783529947,0.0,1.4
0.98,1.4094500827838736,1.2805524904187024,0.02074269035038713,0.01,1.4
1.05,1.4279215017724998,1.3047737124253995,0.02052058286547479,0.01,1.4
1.12,1.446392920761126,1.3289949344320966,0.020298475380562453,0.02,1.4
1.19,1.4648643397497518,1.3532161564387937,0.020076367895650114,0.03,1.4
1.26,1.4833357587383782,1.3774373784454907,0.019854260410737776,0.03,1.4
1.33,1.5018071777270041,1.4016586004521878,0.01963215292582544,0.04,1.4
1.4,1.52027859671563,1.425879822458885,0.019410045440913102,0.04,1.4
1.47,1.5387500157042562,1.450101044465582,0.019187937956000763,0.05,1.4
1.54,1.5572214346928823,1.474322266472279,0.018965830471088425,0.05,1.4
1.61,1.5756928536815082,1.4985434884789761,0.018743722986176083,0.06,1.4
1.68,1.5941642726701342,1.522764710485673,0.018521615501263747,0.06,1.4
1.75,1.6126356916587605,1.5469859324923703,0.018299508016351405,0.07,1.4
1.82,1.6311071106473864,1.5712071544990673,0.018077400531439067,0.07,1.4
