,"x(Wd,We)","y(Wd,We)","theta(Wd,We)",Wd,We
9.03,0.64,0.0,0.01,2.15,2.26
9.1,0.65,0.0,0.0,2.15,2.4
9.17,0.65,0.0,-0.0,2.09,2.48
9.24,0.66,0.0,-0.0,2.43,2.51
9.31,0.66,0.0,-0.01,2.4,2.48
9.38,0.67,0.0,-0.01,2.34,2.51
9.45,0.68,0.0,-0.01,2.59,2.45
9.52,0.68,0.0,-0.01,2.54,2.51
9.59,0.69,0.0,-0.01,2.34,2.62
9.66,0.69,0.0,-0.01,2.48,2.42
9.73,0.7,0.0,-0.01,2.42,2.31
9.8,0.7,0.0,-0.01,2.23,2.45
9.87,0.71,0.0,-0.02,2.15,2.37
9.94,0.71,0.0,-0.02,1.98,2.29
10.01,0.72,0.0,-0.02,2.23,2.29
10.08,0.73,0.0,-0.02,2.29,2.01
10.15,0.73,0.0,-0.02,2.37,2.29
10.22,0.74,0.0,-0.01,2.37,1.98
10.29,0.74,0.0,-0.01,2.26,2.15
10.36,0.75,0.0,-0.01,2.12,2.15
10.43,0.75,0.0,-0.0,2.29,2.01
10.5,0.76,0.0,-0.0,2.17,2.2
10.57,0.76,0.0,-0.0,2.31,2.23
10.64,0.77,0.0,0.0,2.42,2.29
10.71,0.77,0.0,0.0,2.4,2.4
10.78,0.78,0.0,0.0,2.56,2.4
10.85,0.79,0.0,0.01,2.59,2.42
10.92,0.79,0.0,0.01,2.48,2.51
10.99,0.8,0.0,0.01,2.45,2.4
11.06,0.8,0.0,0.01,2.42,2.42
11.13,0.81,0.0,0.0,2.06,2.34
11.2,0.81,0.0,-0.0,2.2,2.45
11.27,0.82,0.0,-0.0,2.31,2.34
11.34,0.82,0.0,-0.01,2.17,2.34
11.41,0.83,0.0,-0.0,2.4,2.23
11.48,0.84,0.0,-0.0,2.2,2.2
11.55,0.84,0.0,-0.01,2.01,2.2
11.62,0.85,0.0,-0.0,2.17,2.12
11.69,0.85,0.0,-0.01,2.06,2.31
11.76,0.86,0.0,-0.01,2.29,2.17
11.83,0.86,0.0,-0.01,2.26,2.34
11.9,0.87,0.0,-0.01,2.34,2.37
11.97,0.87,0.0,-0.01,2.42,2.29
12.04,0.88,0.0,-0.01,2.29,2.45
12.11,0.88,0.0,-0.01,2.37,2.54
12.18,0.89,0.0,-0.01,2.42,2.45
12.25,0.9,0.0,-0.02,2.48,2.54
12.32,0.9,0.0,-0.01,2.51,2.34
12.39,0.91,0.0,-0.01,2.45,2.26
12.46,0.91,0.0,-0.01,2.23,2.4
12.53,0.92,0.0,-0.02,1.95,2.29
12.6,0.92,0.0,-0.02,1.98,2.17
12.67,0.93,0.0,-0.02,2.26,2.12
12.74,0.93,0.0,-0.01,2.45,1.95
12.81,0.94,-0.0,-0.01,2.45,2.26
12.88,0.94,-0.0,-0.0,2.42,2.17
12.95,0.95,-0.0,0.01,2.45,2.15
13.02,0.96,-0.0,0.0,2.2,2.26
13.09,0.96,-0.0,0.01,2.4,2.17
13.16,0.97,0.0,0.01,2.42,2.26
13.23,0.97,0.0,0.01,2.26,2.17
13.3,0.98,0.0,0.02,2.62,2.43
13.37,0.98,0.0,0.02,2.54,2.45
13.44,0.99,0.0,0.02,2.65,2.48
13.51,1.0,0.0,0.02,2.65,2.62
