tempo_s,phi_d,phi_e,x_m,y_m,theta_rad
0.0,0.1256857688103371,0.14139157283853773,0.0,0.0,0.0
0.0010002000400080016,0.2514109098537858,0.2827328805241538,4.541223052641401e-06,0.0,-3.633361617621629e-06
0.002000400080016003,0.377155500906991,0.42397366650699153,1.3623483941184149e-05,-3.299913811380253e-11,-1.0879348248910558e-05
0.0030006001200240046,0.5028995697775581,0.5650637100688563,2.724540417046172e-05,-1.8119675211283965e-10,-2.1710205783682938e-05
0.004000800160032006,0.6286230974249659,0.705952844232922,4.540441172508308e-05,-5.754325430130612e-10,-3.609118245455546e-05
0.005001000200040008,0.7543060211023673,0.8465909736541701,6.809674118438278e-05,-1.3944255462031303e-09,-5.398055210719694e-05
0.006001200240048009,0.8799282375188281,0.9869280924841438,9.53174341941946e-05,-2.863813585040506e-09,-7.532964088251182e-05
0.007001400280056011,1.0054696060215615,1.1269143022036063,0.00012706034029541996,-5.254995306736069e-09,-0.00010008285730008606
0.008001600320064013,1.1309099517976957,1.2664998294167136,0.00016331811810925748,-8.88377732181259e-09,-0.00012817772573084382
0.009001800360072015,1.2562290690951143,1.4056350436003093,0.00020408223687885568,-1.4108829385736742e-08,-0.00015954492324549374
0.010002000400080016,1.3814067244619046,1.5442704748019824,0.0002493429783670441,-2.132995097377411e-08,-0.0001941083198239702
0.011002200440088018,1.5064226600039312,1.6823568312805388,0.0002990894391096916,-3.098615300699409e-08,-0.0002317850219097115
0.012002400480096018,1.6312565966600643,1.8198450170825544,0.00035330953302413346,-4.3553558887957965e-08,-0.00027248541929126023
0.01300260052010402,1.7558882374945637,1.9566861495487142,0.00041198999437200084,-5.9543129398269026e-08,-0.00031611323529231534
0.014002800560112022,1.8802972710061443,2.0928315767436496,0.0004751163810756745,-7.949821639616896e-08,-0.000362565580250022
0.015003000600120024,2.0044633744531994,2.2282328948030274,0.0005426730783874789,-1.0399195063006325e-07,-0.00041173300825994493
0.016003200640128026,2.128366217194703,2.362841965191677,0.0006146433029106164,-1.3362446935259336e-07,-0.0004634995771648426
0.017003400680136026,2.2519854640462613,2.496610931866547,0.0006910091069707329,-1.6901998977900572e-07,-0.0005177429117630352
0.01800360072014403,2.375300778650814,2.6294922383383583,0.0007717513833368917,-2.1082373478246884e-07,-0.0005743342702108454
0.01900380076015203,2.4982918268634458,2.7614386446258257,0.0008568498702906162,-2.5969871755704834e-07,-0.000633138613592287
0.020004000800160033,2.6209382801498,2.8924032440963643,0.0009462831570415512,-3.163223923056774e-07,-0.0006940146786278855
0.021004200840168033,2.7432198189975465,3.0223394801872554,0.0010400286894881694,-3.813831783250649e-07,-0.0007568150534932203
0.022004400880176037,2.8651161363403777,3.151201163001267,0.0011380627763218421,-4.5557686516153243e-07,-0.0008213862567165188
0.023004600920184037,2.9866069409939753,3.278942485770783,0.001240360595472462,-5.396029068006916e-07,-0.0008875688191233554
0.024004800960192037,3.107671961103418,3.4055180411845405,0.001346896200893701,-6.341606131291869e-07,-0.0009551973687952725
0.02500500100020004,3.2282909476014536,3.530882837571123,0.0014576425296858537,-7.399452471678935e-07,-0.0010241007190078877
0.02600520104020804,3.348443677677102,3.654992314933408,0.0015725714095541016,-8.576440368225421e-07,-0.001094101959112839
0.027005401080216044,3.4681099582539967,3.77780236082822,0.0016916535665999193,-9.879321101292658e-07,-0.0011650185483266982
0.028005601120224044,3.5872696294779174,3.8992693260855114,0.0018148586334431997,-1.1314683631885887e-06,-0.0012366624123887867
0.029005801160232048,3.705902568212934,4.0193500403614175,0.0019421551576725836,-1.2888912701815452e-06,-0.001308840043048648
0.030006001200240048,3.823988691545573,4.138001827519637,0.0020735106106213245,-1.4608146450454759e-06,-0.001381352600342749
0.03100620124024805,3.9415079602964354,4.255182520835606,0.0022088913964659236,-1.6478233645543343e-06,-0.001453996017618845
0.03200640128025605,4.058440382538666,4.370850478018046,0.0023482628616446235,-1.8504690626986096e-06,-0.0015265611092652816
0.033006601320264055,4.1747660171226935,4.484964596042466,0.0024915893045927458,-2.069265806393064e-06,-0.0015988336811014105
0.03400680136027205,4.290464977206632,4.59748432579136,0.0026388339857917145,-2.3046857626559723e-06,-0.0016705946433841542
0.035007001400280055,4.4055174337917435,4.7083696864958,0.0027899591381285093,-2.5571548675013488e-06,-0.0017416201263847051
0.03600720144028806,4.519903619262356,4.817581279973304,0.0029449259775621334,-2.827048506865351e-06,-0.0018116815984882274
0.03700740148029606,4.633603830929639,4.925080304656856,0.0031036947140936043,-3.114687219949701e-06,-0.0018805459867684156
0.03800760152030406,4.746598434578589,5.0308285694100565,0.003266224563035814,-3.420332435408136e-06,-0.0019479757999876944
0.03900780156031206,4.858867868017635,5.134788507123467,0.003432473756579514,-3.744182250826723e-06,-0.0020137292539728446
0.040008001600320066,4.97039264463024,5.236923188087295,0.00360239955565153,-4.086367265954992e-06,-0.002077560399314827
0.04100820164032806,5.081153356927842,5.337196333135601,0.003775958262061239,-4.446946480132472e-06,-0.002139219251340605
0.042008401680336066,5.191130680103533,5.435572326557371,0.003953105230931181,-4.825903264323994e-06,-0.0021984519223038033
0.04300860172034407,5.300305375585835,5.532016228769795,0.004133794883407575,-5.223141418127274e-06,-0.002255000755740086
