X,Y,Theta,Setpoint VD,Setpoint VE,VD,VE,tempo
0.27000,0.70000,-0.01000,2.23000,2.42000,2.33000,2.33000,4640.00000
0.27000,0.70000,-0.01000,2.20000,2.20000,2.33000,2.32000,-3468.00000
0.28000,0.70000,-0.00000,2.20000,2.06000,2.33000,2.32000,-11524.00000
0.28000,0.70000,-0.00000,2.17000,2.06000,2.33000,2.33000,-19680.00000
0.29000,0.70000,0.00000,2.09000,1.92000,2.32000,2.33000,-27792.00000
0.29000,0.70000,0.00000,2.20000,2.26000,2.31000,2.32000,29588.00000
0.30000,0.70000,0.00000,2.31000,2.12000,2.31000,2.32000,21456.00000
0.31000,0.70000,0.00000,2.29000,2.40000,2.29000,2.32000,13288.00000
0.31000,0.70000,-0.00000,2.31000,2.51000,2.30000,2.32000,5160.00000
0.32000,0.70000,-0.00000,2.40000,2.54000,2.32000,2.33000,-2948.00000
0.32000,0.70000,-0.01000,2.31000,2.45000,2.33000,2.33000,-11092.00000
0.33000,0.70000,-0.01000,2.54000,2.54000,2.33000,2.32000,-19236.00000
0.33000,0.70000,-0.00000,2.45000,2.37000,2.33000,2.32000,-27372.00000
0.34000,0.70000,-0.01000,2.51000,2.54000,2.33000,2.32000,29980.00000
0.35000,0.70000,-0.00000,2.62000,2.56000,2.33000,2.32000,21828.00000
0.35000,0.70000,-0.00000,2.48000,2.42000,2.33000,2.33000,13664.00000
0.36000,0.70000,-0.01000,2.23000,2.48000,2.33000,2.33000,5484.00000
0.36000,0.70000,-0.02000,2.06000,2.43000,2.32000,2.31000,-2632.00000
0.37000,0.70000,-0.02000,1.98000,2.17000,2.31000,2.28000,-10724.00000
0.37000,0.70000,-0.02000,2.23000,2.20000,2.30000,2.26000,-18904.00000
0.38000,0.70000,-0.02000,2.34000,2.29000,2.30000,2.26000,-27024.00000
0.39000,0.70000,-0.01000,2.48000,2.23000,2.30000,2.27000,30360.00000
0.39000,0.70000,-0.01000,2.54000,2.40000,2.31000,2.29000,22204.00000
0.40000,0.70000,-0.00000,2.48000,2.20000,2.32000,2.30000,14068.00000
0.40000,0.70000,-0.00000,2.31000,2.26000,2.33000,2.32000,5932.00000
0.41000,0.70000,-0.00000,2.26000,2.26000,2.33000,2.33000,-2156.00000
0.41000,0.70000,0.00000,2.29000,2.09000,2.33000,2.33000,-10228.00000
0.42000,0.70000,0.00000,2.31000,2.29000,2.32000,2.33000,-18372.00000
0.42000,0.70000,0.00000,2.48000,2.29000,2.31000,2.32000,-26536.00000
0.43000,0.70000,0.01000,2.45000,2.23000,2.30000,2.32000,30836.00000
0.44000,0.70000,0.01000,2.54000,2.51000,2.28000,2.31000,22680.00000
0.44000,0.70000,0.01000,2.51000,2.37000,2.27000,2.31000,14540.00000
0.45000,0.70000,0.02000,2.48000,2.31000,2.26000,2.30000,6360.00000
0.45000,0.70000,0.01000,2.23000,2.34000,2.24000,2.29000,-1764.00000
0.46000,0.70000,0.01000,2.17000,2.29000,2.25000,2.30000,-9844.00000
0.46000,0.70000,0.01000,2.12000,2.17000,2.26000,2.30000,-17936.00000
0.47000,0.70000,0.00000,1.92000,2.42000,2.27000,2.30000,-26084.00000
0.47000,0.70000,-0.00000,2.17000,2.26000,2.31000,2.32000,31316.00000
0.48000,0.70000,-0.01000,2.12000,2.37000,2.32000,2.33000,23164.00000
0.48000,0.70000,-0.00000,2.42000,2.29000,2.33000,2.32000,15000.00000
0.49000,0.70000,0.00000,2.34000,2.01000,2.33000,2.33000,6860.00000
0.49000,0.70000,0.01000,2.29000,2.03000,2.30000,2.32000,-1264.00000
0.50000,0.70000,0.01000,2.31000,1.98000,2.28000,2.31000,-9328.00000
0.50000,0.70000,0.01000,2.20000,2.20000,2.24000,2.29000,-17460.00000
0.51000,0.70000,0.01000,2.15000,2.40000,2.24000,2.29000,-25544.00000
0.52000,0.70000,0.01000,2.26000,2.29000,2.26000,2.30000,31844.00000
0.52000,0.70000,0.01000,2.26000,2.45000,2.27000,2.30000,23692.00000
0.53000,0.70000,0.00000,2.34000,2.43000,2.28000,2.31000,15524.00000
0.53000,0.70000,0.01000,2.45000,2.26000,2.29000,2.32000,7380.00000
0.54000,0.70000,0.01000,2.45000,2.45000,2.27000,2.31000,-728.00000
0.54000,0.70000,0.01000,2.40000,2.48000,2.27000,2.31000,-8744.00000
0.55000,0.70000,0.00000,2.31000,2.48000,2.28000,2.31000,-16868.00000
0.56000,0.70000,0.00000,2.45000,2.51000,2.29000,2.32000,-25032.00000
0.56000,0.70000,0.00000,2.37000,2.34000,2.30000,2.32000,32344.00000
0.57000,0.70000,-0.00000,2.12000,2.29000,2.30000,2.32000,24224.00000
0.57000,0.70000,-0.01000,1.81000,2.43000,2.31000,2.32000,16076.00000
0.58000,0.70000,-0.02000,1.87000,2.12000,2.32000,2.30000,7948.00000
0.58000,0.70000,-0.02000,2.20000,2.26000,2.31000,2.28000,-176.00000
0.59000,0.70000,-0.02000,2.40000,2.31000,2.31000,2.27000,-8216.00000
0.59000,0.70000,-0.01000,2.56000,2.23000,2.31000,2.28000,-16364.00000
0.60000,0.70000,-0.01000,2.59000,2.43000,2.32000,2.31000,-24532.00000
0.60000,0.70000,-0.00000,2.42000,2.29000,2.33000,2.32000,-32680.00000
0.61000,0.70000,-0.00000,2.20000,2.06000,2.33000,2.33000,24692.00000
0.62000,0.70000,-0.00000,2.26000,2.17000,2.32000,2.33000,16544.00000
0.62000,0.70000,0.00000,2.20000,2.01000,2.31000,2.32000,8428.00000
0.63000,0.70000,0.00000,2.29000,2.34000,2.29000,2.32000,308.00000
0.63000,0.70000,0.00000,2.48000,2.34000,2.30000,2.32000,-7712.00000
0.64000,0.70000,0.01000,2.59000,2.29000,2.28000,2.31000,-15804.00000
0.64000,0.70000,0.01000,2.48000,2.51000,2.25000,2.30000,-23984.00000
0.65000,0.70000,0.01000,2.54000,2.54000,2.25000,2.30000,-32120.00000
0.66000,0.70000,0.01000,2.56000,2.37000,2.25000,2.30000,25316.00000
0.66000,0.70000,0.01000,2.40000,2.40000,2.23000,2.29000,17152.00000
0.67000,0.70000,0.01000,2.09000,2.40000,2.23000,2.29000,9060.00000
0.67000,0.70000,0.01000,2.23000,2.26000,2.26000,2.30000,952.00000
0.68000,0.70000,-0.00000,2.03000,2.59000,2.26000,2.30000,-7100.00000
0.68000,0.70000,-0.01000,2.20000,2.43000,2.31000,2.32000,-15204.00000
0.69000,0.70000,-0.01000,2.26000,2.26000,2.33000,2.33000,-23364.00000
0.69000,0.70000,-0.00000,2.45000,2.15000,2.33000,2.33000,-31524.00000
0.70000,0.70000,0.00000,2.23000,2.03000,2.30000,2.32000,25916.00000
0.70000,0.70000,0.00000,2.15000,2.09000,2.28000,2.31000,17796.00000
0.71000,0.70000,0.00000,2.17000,2.26000,2.28000,2.31000,9660.00000
0.71000,0.70000,0.00000,2.29000,2.12000,2.29000,2.31000,1572.00000
0.72000,0.70000,0.00000,2.26000,2.34000,2.27000,2.31000,-6528.00000
0.72000,0.70000,0.00000,2.31000,2.31000,2.28000,2.31000,-14636.00000
0.73000,0.70000,0.00000,2.28000,2.28000,2.27000,2.31000,-22740.00000
0.74000,0.70000,-0.00000,2.17000,2.37000,2.27000,2.31000,-30896.00000
0.74000,0.70000,0.00000,2.40000,2.26000,2.29000,2.31000,26512.00000
0.75000,0.70000,0.00000,2.29000,2.37000,2.28000,2.31000,18336.00000
0.75000,0.70000,-0.00000,2.42000,2.68000,2.28000,2.31000,10176.00000
0.76000,0.70000,-0.01000,2.31000,2.48000,2.30000,2.32000,2020.00000
0.76000,0.70000,-0.01000,2.31000,2.29000,2.32000,2.33000,-6104.00000
0.77000,0.70000,-0.01000,2.26000,2.31000,2.31000,2.32000,-14220.00000
0.77000,0.70000,-0.01000,2.09000,2.17000,2.32000,2.33000,-22368.00000
0.78000,0.70000,-0.02000,1.90000,2.31000,2.33000,2.33000,-30560.00000
0.78000,0.70000,-0.02000,2.01000,2.31000,2.32000,2.30000,26852.00000
0.79000,0.70000,-0.02000,2.29000,2.31000,2.31000,2.27000,18680.00000
0.80000,0.70000,-0.02000,2.56000,2.34000,2.30000,2.27000,10548.00000
0.80000,0.70000,-0.02000,2.48000,2.26000,2.31000,2.29000,2404.00000
0.81000,0.70000,-0.01000,2.40000,2.29000,2.32000,2.30000,-5720.00000
0.81000,0.70000,-0.01000,2.34000,2.37000,2.32000,2.31000,-13828.00000
0.82000,0.70000,-0.01000,2.15000,2.09000,2.32000,2.31000,-21964.00000
0.82000,0.70000,-0.01000,2.26000,2.12000,2.32000,2.31000,-30124.00000
0.83000,0.70000,-0.01000,2.29000,2.20000,2.33000,2.33000,27280.00000
0.83000,0.70000,-0.01000,2.45000,2.31000,2.33000,2.33000,19128.00000
0.84000,0.70000,-0.00000,2.65000,2.51000,2.32000,2.33000,10976.00000
0.85000,0.70000,0.00000,2.65000,2.48000,2.30000,2.32000,2808.00000
0.85000,0.70000,0.00000,2.59000,2.45000,2.29000,2.31000,-5284.00000
0.86000,0.70000,0.00000,2.56000,2.56000,2.27000,2.31000,-13392.00000
0.86000,0.70000,0.00000,2.40000,2.40000,2.27000,2.31000,-21504.00000
