,Wd,We,"theta(Wd,We)","x(Wd,We)","y(Wd,We)"
0.0,1.8465854795380157,1.5561479630715398,0.06364902288274692,0.2193516837449908,-0.15534675298490563
0.07,1.8492856446868684,1.5632821911776438,0.061554990606902116,0.22326723611579652,-0.1546389484183398
0.14,1.8519858098357211,1.570416419283748,0.05949042617341496,0.22718278848660223,-0.15393114385177395
0.21,1.8546859749845737,1.5775506473898515,0.05745516720412248,0.2310983408574079,-0.15322333928520812
0.28,1.8573861401334266,1.584684875495956,0.05544905132086165,0.23501389322821362,-0.1525155347186423
0.35,1.860086305282279,1.5918191036020597,0.05347191614546944,0.2389294455990193,-0.15180773015207646
0.42,1.8627864704311319,1.598953331708164,0.05152359929978292,0.242844997969825,-0.15109992558551064
0.49,1.8654866355799848,1.6060875598142677,0.04960393840563905,0.2467605503406307,-0.1503921210189448
0.56,1.8681868007288376,1.6132217879203716,0.0477127710848748,0.2506761027114364,-0.14968431645237895
0.63,1.87088696587769,1.6203560160264754,0.04584993495932719,0.25459165508224213,-0.14897651188581312
0.7,1.8735871310265428,1.6274902441325796,0.04401526765083321,0.2585072074530478,-0.1482687073192473
0.77,1.8762872961753956,1.6346244722386838,0.042208606781229875,0.26242275982385355,-0.14756090275268144
0.84,1.8789874613242483,1.6417587003447875,0.040429789972354156,0.2663383121946592,-0.1468530981861156
0.91,1.881687626473101,1.6488929284508913,0.038678654846043076,0.27025386456546496,-0.1461452936195498
0.98,1.8843877916219536,1.6560271565569953,0.03695503902413359,0.27416941693627067,-0.14543748905298398
1.05,1.8870879567708063,1.6631613846630995,0.035258780128462744,0.2780849693070764,-0.14472968448641815
1.12,1.889788121919659,1.6702956127692035,0.03358971578086751,0.28200052167788203,-0.14402187991985232
1.19,1.8924882870685118,1.6774298408753074,0.031947683603184895,0.28591607404868774,-0.14331407535328647
1.26,1.8951884522173645,1.6845640689814112,0.030332521217251877,0.28983162641949345,-0.14260627078672064
1.33,1.8978886173662173,1.6916982970875152,0.0287440662449055,0.29374717879029916,-0.1418984662201548
1.4,1.90058878251507,1.6988325251936192,0.027182156307982697,0.2976627311611048,-0.14119066165358896
1.47,1.9032889476639228,1.7059667532997231,0.025646629028320475,0.3015782835319105,-0.14048285708702313
1.54,1.9059891128127755,1.7131009814058273,0.024137322027755863,0.3054938359027163,-0.1397750525204573
1.61,1.908689277961628,1.720235209511931,0.02265407292812584,0.30940938827352193,-0.13906724795389147
1.68,1.9113894431104808,1.727369437618035,0.021196719351267403,0.3133249406443277,-0.13835944338732567
1.75,1.9140896082593335,1.734503665724139,0.01976509891901756,0.3172404930151334,-0.13765163882075981
