,"x(Wd,We)","y(Wd,We)","theta(Wd,We)",Wd,We
0.0,0.0,0.0,0.0,0.0,0.0
0.07,0.0,0.0,0.0,0.0,0.0
0.14,0.0,0.0,0.0,0.0,0.0
0.21,0.0,0.0,0.0,0.0,0.0
0.28,0.0,0.0,0.0,0.0,0.0
0.35,0.0,0.0,0.0,0.0,0.0
0.42,0.0,0.0,0.0,0.0,0.0
0.49,0.0,0.0,0.0,0.0,0.0
0.56,0.0,0.0,0.0,0.0,0.0
0.63,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.01,0.0
0.77,0.0,0.0,0.0,0.0,0.0
0.84,0.0,0.0,0.0,0.0,0.0
0.91,0.0,0.0,0.0,0.0,0.0
0.98,0.0,0.0,0.0,0.0,0.0
1.05,0.0,0.0,0.0,0.0,0.0
1.12,0.0,0.0,0.0,0.0,0.0
1.19,0.0,0.0,0.0,0.01,0.0
1.26,0.0,0.0,0.0,0.0,0.0
1.33,0.0,0.0,0.0,0.0,0.0
1.4,0.0,0.0,0.0,0.06,0.0
1.47,0.0,0.0,0.0,0.0,0.0
1.54,0.0,0.0,0.0,0.0,0.0
1.61,0.0,0.0,0.0,0.0,0.0
1.68,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0
1.82,0.0,0.0,0.0,0.0,0.0
1.89,0.0,0.0,0.0,0.0,0.0
1.96,0.0,0.0,0.0,0.0,0.0
2.03,0.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0,0.0
2.17,0.0,0.0,0.0,0.0,0.0
2.24,0.0,0.0,0.0,0.0,0.0
2.31,0.0,0.0,0.0,0.0,0.0
2.38,0.0,0.0,0.0,0.0,0.0
2.45,0.0,0.0,0.0,0.0,0.0
2.52,0.0,0.0,0.0,0.0,0.0
2.59,0.0,0.0,0.0,0.0,0.0
2.66,0.0,0.0,0.0,0.0,0.0
2.73,0.0,0.0,0.0,0.0,0.0
2.8,0.0,0.0,0.0,0.0,0.0
2.87,0.0,0.0,0.0,0.0,0.0
2.94,0.0,0.0,0.0,0.0,0.0
3.01,0.0,0.0,0.0,0.0,0.0
3.08,0.0,0.0,0.0,0.0,0.0
3.15,0.0,0.0,0.0,0.0,0.0
3.22,0.0,0.0,0.0,0.0,0.0
3.29,0.0,0.0,0.0,0.0,0.0
3.36,0.0,0.0,0.0,0.0,0.0
3.43,0.0,0.0,0.0,0.0,0.0
