,"x(Wd,We)","y(Wd,We)","theta(Wd,We)",Wd,We
0.0,0.0,0.7,0.0,0.0,0.0
0.07,0.0,0.7,0.0,0.0,0.0
0.14,0.0,0.7,0.0,0.0,0.0
0.21,0.0,0.7,0.0,0.03,0.0
0.28,0.0,0.7,0.0,0.0,0.0
0.35,0.0,0.7,0.0,0.0,0.0
0.42,0.0,0.7,0.0,0.0,0.0
0.49,0.0,0.7,0.0,0.03,0.0
0.56,0.0,0.7,0.0,0.0,0.0
0.63,0.0,0.7,0.0,0.03,0.0
0.7,0.0,0.7,0.02,0.92,0.0
0.77,0.0,0.7,0.04,1.25,0.0
0.84,0.0,0.7,0.07,1.53,0.0
0.91,0.01,0.7,0.1,1.34,0.03
0.98,0.01,0.7,0.13,1.51,0.03
1.05,0.01,0.7,0.12,1.0,1.14
1.12,0.01,0.7,0.11,1.17,1.81
1.19,0.02,0.7,0.11,2.09,1.98
1.26,0.02,0.7,0.11,2.03,2.03
1.33,0.03,0.7,0.11,2.01,2.23
1.4,0.03,0.7,0.1,1.64,2.15
1.47,0.04,0.7,0.09,1.56,1.95
1.54,0.04,0.7,0.08,1.23,1.78
1.61,0.04,0.7,0.08,1.59,1.48
1.68,0.05,0.7,0.07,1.14,1.84
1.75,0.05,0.7,0.06,1.39,1.92
1.82,0.06,0.71,0.04,1.62,2.48
1.89,0.06,0.71,0.03,1.56,2.48
1.96,0.07,0.71,0.02,2.12,2.62
2.03,0.07,0.71,0.01,2.03,2.48
2.1,0.08,0.71,0.0,2.17,2.37
2.17,0.08,0.71,0.0,2.26,2.23
2.24,0.09,0.71,-0.0,2.06,2.34
2.31,0.09,0.71,-0.0,2.17,2.34
2.38,0.1,0.71,-0.01,2.09,2.34
2.45,0.11,0.71,-0.01,2.34,2.51
2.52,0.11,0.71,-0.02,2.29,2.51
2.59,0.12,0.71,-0.02,2.15,2.4
2.66,0.12,0.71,-0.02,2.37,2.54
2.73,0.13,0.71,-0.03,2.23,2.34
2.8,0.13,0.71,-0.03,2.45,2.51
2.87,0.14,0.7,-0.03,2.42,2.37
2.94,0.14,0.7,-0.03,2.31,2.37
3.01,0.15,0.7,-0.03,2.29,2.37
3.08,0.16,0.7,-0.03,2.17,2.43
3.15,0.16,0.7,-0.04,1.7,2.09
3.22,0.17,0.7,-0.05,2.01,2.2
3.29,0.17,0.7,-0.05,2.09,2.12
3.36,0.18,0.7,-0.04,2.54,2.09
3.43,0.18,0.7,-0.03,2.51,2.2
3.5,0.19,0.7,-0.03,2.42,2.15
3.57,0.19,0.7,-0.02,2.4,2.29
3.64,0.2,0.7,-0.02,2.23,2.17
3.71,0.2,0.7,-0.02,2.2,2.09
3.78,0.21,0.7,-0.02,2.23,2.06
3.85,0.21,0.7,-0.01,2.26,2.06
3.92,0.22,0.7,-0.01,2.37,2.17
3.99,0.22,0.7,-0.01,2.37,2.23
4.06,0.23,0.7,-0.0,2.51,2.31
4.13,0.24,0.7,-0.0,2.51,2.56
4.2,0.24,0.7,-0.0,2.56,2.34
4.27,0.25,0.7,0.0,2.56,2.34
4.34,0.25,0.7,0.0,2.26,2.37
4.41,0.26,0.7,0.0,2.26,2.26
4.48,0.26,0.7,-0.0,2.15,2.34
4.55,0.27,0.7,-0.01,2.23,2.42
4.62,0.27,0.7,-0.01,2.2,2.2
4.69,0.28,0.7,-0.0,2.2,2.06
4.76,0.28,0.7,-0.0,2.17,2.06
4.83,0.29,0.7,0.0,2.09,1.92
4.9,0.29,0.7,0.0,2.2,2.26
4.97,0.3,0.7,0.0,2.31,2.12
5.04,0.31,0.7,0.0,2.29,2.4
5.11,0.31,0.7,-0.0,2.31,2.51
5.18,0.32,0.7,-0.0,2.4,2.54
5.25,0.32,0.7,-0.01,2.31,2.45
5.32,0.33,0.7,-0.01,2.54,2.54
5.39,0.33,0.7,-0.0,2.45,2.37
5.46,0.34,0.7,-0.01,2.51,2.54
5.53,0.35,0.7,-0.0,2.62,2.56
5.6,0.35,0.7,-0.0,2.48,2.42
5.67,0.36,0.7,-0.01,2.23,2.48
5.74,0.36,0.7,-0.02,2.06,2.43
5.81,0.37,0.7,-0.02,1.98,2.17
5.88,0.37,0.7,-0.02,2.23,2.2
5.95,0.38,0.7,-0.02,2.34,2.29
6.02,0.39,0.7,-0.01,2.48,2.23
6.09,0.39,0.7,-0.01,2.54,2.4
6.16,0.4,0.7,-0.0,2.48,2.2
6.23,0.4,0.7,-0.0,2.31,2.26
6.3,0.41,0.7,-0.0,2.26,2.26
6.37,0.41,0.7,0.0,2.29,2.09
6.44,0.42,0.7,0.0,2.31,2.29
6.51,0.42,0.7,0.0,2.48,2.29
6.58,0.43,0.7,0.01,2.45,2.23
6.65,0.44,0.7,0.01,2.54,2.51
6.72,0.44,0.7,0.01,2.51,2.37
6.79,0.45,0.7,0.02,2.48,2.31
6.86,0.45,0.7,0.01,2.23,2.34
6.93,0.46,0.7,0.01,2.17,2.29
7.0,0.46,0.7,0.01,2.12,2.17
7.07,0.47,0.7,0.0,1.92,2.42
7.14,0.47,0.7,-0.0,2.17,2.26
7.21,0.48,0.7,-0.01,2.12,2.37
7.28,0.48,0.7,-0.0,2.42,2.29
7.35,0.49,0.7,0.0,2.34,2.01
7.42,0.49,0.7,0.01,2.29,2.03
7.49,0.5,0.7,0.01,2.31,1.98
7.56,0.5,0.7,0.01,2.2,2.2
7.63,0.51,0.7,0.01,2.15,2.4
7.7,0.52,0.7,0.01,2.26,2.29
7.77,0.52,0.7,0.01,2.26,2.45
7.84,0.53,0.7,0.0,2.34,2.43
7.91,0.53,0.7,0.01,2.45,2.26
7.98,0.54,0.7,0.01,2.45,2.45
8.05,0.54,0.7,0.01,2.4,2.48
8.12,0.55,0.7,0.0,2.31,2.48
8.19,0.56,0.7,0.0,2.45,2.51
8.26,0.56,0.7,0.0,2.37,2.34
8.33,0.57,0.7,-0.0,2.12,2.29
8.4,0.57,0.7,-0.01,1.81,2.43
8.47,0.58,0.7,-0.02,1.87,2.12
8.54,0.58,0.7,-0.02,2.2,2.26
8.61,0.59,0.7,-0.02,2.4,2.31
8.68,0.59,0.7,-0.01,2.56,2.23
8.75,0.6,0.7,-0.01,2.59,2.43
8.82,0.6,0.7,-0.0,2.42,2.29
8.89,0.61,0.7,-0.0,2.2,2.06
8.96,0.62,0.7,-0.0,2.26,2.17
9.03,0.62,0.7,0.0,2.2,2.01
9.1,0.63,0.7,0.0,2.29,2.34
9.17,0.63,0.7,0.0,2.48,2.34
9.24,0.64,0.7,0.01,2.59,2.29
9.31,0.64,0.7,0.01,2.48,2.51
9.38,0.65,0.7,0.01,2.54,2.54
9.45,0.66,0.7,0.01,2.56,2.37
9.52,0.66,0.7,0.01,2.4,2.4
9.59,0.67,0.7,0.01,2.09,2.4
9.66,0.67,0.7,0.01,2.23,2.26
9.73,0.68,0.7,-0.0,2.03,2.59
9.8,0.68,0.7,-0.01,2.2,2.43
9.87,0.69,0.7,-0.01,2.26,2.26
9.94,0.69,0.7,-0.0,2.45,2.15
10.01,0.7,0.7,0.0,2.23,2.03
10.08,0.7,0.7,0.0,2.15,2.09
10.15,0.71,0.7,0.0,2.17,2.26
10.22,0.71,0.7,0.0,2.29,2.12
10.29,0.72,0.7,0.0,2.26,2.34
10.36,0.72,0.7,0.0,2.31,2.31
10.43,0.73,0.7,0.0,2.28,2.28
10.5,0.74,0.7,-0.0,2.17,2.37
10.57,0.74,0.7,0.0,2.4,2.26
10.64,0.75,0.7,0.0,2.29,2.37
10.71,0.75,0.7,-0.0,2.42,2.68
10.78,0.76,0.7,-0.01,2.31,2.48
10.85,0.76,0.7,-0.01,2.31,2.29
10.92,0.77,0.7,-0.01,2.26,2.31
10.99,0.77,0.7,-0.01,2.09,2.17
11.06,0.78,0.7,-0.02,1.9,2.31
11.13,0.78,0.7,-0.02,2.01,2.31
11.2,0.79,0.7,-0.02,2.29,2.31
11.27,0.8,0.7,-0.02,2.56,2.34
