,Wd,We,"theta(Wd,We)","x(Wd,We)","y(Wd,We)"
0.0,1.6126734951346677,1.5723004237958795,0.0030430185989968597,-0.0363433484426467,1.5001213653938297
0.07,1.6185534185232677,1.5789747674821226,0.0032696192581752404,-0.030675482350916446,1.4998189764487713
0.14,1.6244333419118675,1.5856491111683655,0.0034927599672937076,-0.025007616259186193,1.4995165875037126
0.21,1.6303132653004673,1.5923234548546086,0.003712451068113588,-0.01933975016745594,1.4992141985586542
0.28,1.6361931886890677,1.598997798540852,0.003928702902396205,-0.013671884075725685,1.4989118096135958
0.35,1.6420731120776675,1.605672142227095,0.004141525811902887,-0.008004017983995432,1.4986094206685374
0.42,1.6479530354662675,1.612346485913338,0.004350930138394959,-0.00233615189226518,1.4983070317234788
0.49,1.6538329588548675,1.619020829599581,0.004556926223633746,0.003331714199465062,1.4980046427784204
0.56,1.6597128822434675,1.6256951732858238,0.004759524409380573,0.008999580291195325,1.497702253833362
0.63,1.6655928056320672,1.6323695169720671,0.004958735037396766,0.014667446382925574,1.4973998648883036
0.7,1.6714727290206677,1.6390438606583104,0.00515456844944365,0.02033531247465583,1.4970974759432452
0.77,1.6773526524092675,1.6457182043445533,0.0053470349872825505,0.026003178566386072,1.4967950869981865
0.84,1.6832325757978672,1.6523925480307964,0.005536144992674794,0.03167104465811633,1.4964926980531281
0.91,1.6891124991864672,1.6590668917170395,0.005721908807381706,0.037338910749846584,1.49619030910807
0.98,1.6949924225750672,1.6657412354032823,0.005904336773164611,0.043006776841576826,1.4958879201630113
1.05,1.700872345963667,1.6724155790895254,0.006083439231784837,0.048674642933307095,1.495585531217953
1.12,1.706752269352267,1.6790899227757687,0.006259226525003706,0.05434250902503735,1.4952831422728945
1.19,1.7126321927408672,1.6857642664620118,0.006431708994582548,0.06001037511676758,1.4949807533278359
1.26,1.718512116129467,1.692438610148255,0.006600896982282684,0.06567824120849786,1.4946783643827775
1.33,1.724392039518067,1.699112953834498,0.0067668008298654445,0.0713461073002281,1.4943759754377188
1.4,1.7302719629066667,1.7057872975207407,0.006929430879092151,0.07701397339195835,1.4940735864926604
1.47,1.736151886295267,1.712461641206984,0.00708879747172413,0.0826818394836886,1.4937711975476022
1.54,1.742031809683867,1.719135984893227,0.0072449109495227055,0.08834970557541885,1.4934688086025436
1.61,1.747911733072467,1.7258103285794701,0.007397781654249208,0.09401757166714912,1.4931664196574852
1.68,1.7537916564610667,1.7324846722657132,0.007547419927664956,0.09968543775887936,1.4928640307124266
1.75,1.7596715798496667,1.739159015951956,0.0076938361115312815,0.10535330385060963,1.4925616417673682
1.82,1.7655515032382667,1.7458333596381992,0.007837040547609508,0.11102116994233988,1.4922592528223098
1.89,1.7714314266268667,1.7525077033244425,0.007977043577660959,0.1166890360340701,1.4919568638772511
1.96,1.7773113500154667,1.7591820470106856,0.008113855543446962,0.12235690212580036,1.4916544749321927
2.03,1.7831912734040667,1.7658563906969285,0.008247486786728842,0.12802476821753062,1.491352085987134
2.1,1.7890711967926665,1.7725307343831718,0.008377947649267926,0.1336926343092609,1.4910496970420757
2.17,1.7949511201812665,1.7792050780694146,0.008505248472825537,0.1393605004009911,1.4907473080970173
2.24,1.8008310435698665,1.785879421755658,0.008629399599163005,0.1450283664927214,1.4904449191519589
2.31,1.8067109669584664,1.7925537654419008,0.008750411370041655,0.15069623258445164,1.4901425302069002
2.38,1.8125908903470664,1.7992281091281437,0.008868294127222806,0.15636409867618184,1.4898401412618416
2.45,1.8184708137356664,1.805902452814387,0.008983058212467789,0.16203196476791212,1.4895377523167834
2.52,1.8243507371242664,1.8125767965006299,0.009094713967537924,0.16769983085964238,1.489235363371725
2.59,1.8302306605128664,1.8192511401868732,0.009203271734194548,0.17336769695137264,1.4889329744266666
2.66,1.836110583901466,1.825925483873116,0.00930874185419897,0.1790355630431029,1.4886305854816082
2.73,1.8419905072900662,1.832599827559359,0.009411134669312532,0.18470342913483315,1.4883281965365498
2.8,1.847870430678666,1.8392741712456022,0.009510460521296551,0.1903712952265634,1.4880258075914914
2.87,1.8537503540672664,1.8459485149318455,0.00960672975191235,0.1960391613182937,1.4877234186464328
2.94,1.8596302774558662,1.8526228586180884,0.00969995270292127,0.2017070274100239,1.4874210297013741
3.01,1.865510200844466,1.8592972023043315,0.009790139716084617,0.20737489350175414,1.4871186407563157
3.08,1.871390124233066,1.8659715459905746,0.009877301133163725,0.2130427595934844,1.4868162518112573
3.15,1.877270047621666,1.8726458896768174,0.009961447295919919,0.21871062568521468,1.486513862866199
3.22,1.883149971010266,1.8793202333630608,0.010042588546114527,0.22437849177694494,1.4862114739211403
3.29,1.8890298943988657,1.8859945770493036,0.010120735225508869,0.23004635786867517,1.4859090849760817
3.36,1.894909817787466,1.892668920735547,0.010195897675864277,0.23571422396040542,1.4856066960310232
3.43,1.900789741176066,1.89934326442179,0.010268086238942075,0.24138209005213568,1.485304307085965
3.5,1.906669664564666,1.9060176081080331,0.010337311256503586,0.24704995614386596,1.4850019181409067
3.57,1.9125495879532655,1.9126919517942758,0.010403583070310135,0.2527178222355962,1.484699529195848
3.64,1.9184295113418655,1.919366295480519,0.01046691202212305,0.25838568832732645,1.4843971402507896
3.71,1.9243094347304655,1.9260406391667622,0.010527308453703655,0.26405355441905665,1.484094751305731
3.78,1.930189358119066,1.9327149828530055,0.01058478270681328,0.2697214205107869,1.4837923623606726
3.85,1.9360692815076654,1.9393893265392483,0.010639345123213245,0.2753892866025172,1.4834899734156142
3.92,1.9419492048962654,1.9460636702254914,0.010691006044664875,0.2810571526942474,1.4831875844705555
3.99,1.9478291282848654,1.9527380139117345,0.0107397758129295,0.28672501878597767,1.4828851955254971
4.06,1.9537090516734654,1.9594123575979776,0.010785664769768446,0.2923928848777079,1.4825828065804385
4.13,1.9595889750620654,1.9660867012842207,0.010828683256943035,0.2980607509694382,1.48228041763538
4.2,1.9654688984506652,1.9727610449704636,0.010868841616214594,0.3037286170611685,1.481978028690322
4.27,1.9713488218392654,1.9794353886567069,0.010906150189344445,0.30939648315289864,1.4816756397452635
4.34,1.9772287452278652,1.9861097323429497,0.010940619318093921,0.3150643492446289,1.4813732508002047
4.41,1.9831086686164654,1.992784076029193,0.010972259344224343,0.3207322153363592,1.4810708618551467
4.48,1.9889885920050652,1.999458419715436,0.011001080609497038,0.3264000814280895,1.4807684729100878
4.55,1.9948685153936654,2.006132763401679,0.011027093455673324,0.3320679475198197,1.4804660839650297
4.62,2.0007484387822654,2.012807107087922,0.011050308224514539,0.33773581361155,1.4801636950199712
4.69,2.0066283621708654,2.0194814507741654,0.011070735257782004,0.34340367970328023,1.4798613060749126
4.76,2.0125082855594654,2.0261557944604083,0.011088384897237045,0.34907154579501043,1.4795589171298542
4.83,2.018388208948065,2.032830138146651,0.01110326748464098,0.3547394118867407,1.4792565281847956
4.9,2.0242681323366654,2.0395044818328945,0.011115393361755144,0.36040727797847094,1.4789541392397372
4.97,2.030148055725265,2.0461788255191373,0.01112477287034086,0.3660751440702012,1.4786517502946788
5.04,2.036027979113865,2.05285316920538,0.011131416352159447,0.37174301016193145,1.4783493613496204
5.11,2.041907902502465,2.0595275128916235,0.011135334148972241,0.37741087625366176,1.4780469724045617
5.18,2.047787825891065,2.0662018565778664,0.011136536602540562,0.38307874234539196,1.4777445834595033
5.25,2.053667749279665,2.0728762002641097,0.011135034054625736,0.3887466084371222,1.477442194514445
5.32,2.0595476726682644,2.0795505439503525,0.011130836846989092,0.3944144745288525,1.4771398055693865
5.39,2.065427596056865,2.086224887636596,0.011123955321391944,0.40008234062058273,1.476837416624328
5.46,2.071307519445465,2.0928992313228387,0.011114399819595633,0.405750206712313,1.4765350276792695
5.53,2.077187442834065,2.099573575009082,0.011102180683361475,0.41141807280404324,1.4762326387342108
5.6,2.0830673662226644,2.106247918695325,0.0110873082544508,0.4170859388957735,1.4759302497891524
5.67,2.088947289611265,2.112922262381568,0.011069792874624933,0.4227538049875038,1.475627860844094
5.74,2.094827212999865,2.1195966060678115,0.011049644885645192,0.42842167107923407,1.4753254718990356
5.81,2.1007071363884644,2.126270949754054,0.011026874629272918,0.4340895371709642,1.4750230829539772
5.88,2.1065870597770644,2.1329452934402973,0.011001492447269423,0.43975740326269447,1.4747206940089186
5.95,2.1124669831656644,2.1396196371265406,0.010973508681396037,0.4454252693544247,1.4744183050638602
6.02,2.1183469065542644,2.1462939808127834,0.010942933673414082,0.451093135446155,1.4741159161188016
