X,Y,Theta,Setpoint VD,Setpoint VE,VD,VE,tempo
0.34000,0.00000,-0.01000,2.26000,2.01000,2.31000,2.27000,-10348.00000
0.35000,0.00000,-0.01000,2.15000,2.03000,2.32000,2.29000,-18480.00000
0.35000,0.00000,-0.00000,2.37000,2.03000,2.32000,2.30000,-26608.00000
0.36000,0.00000,0.00000,2.40000,2.26000,2.33000,2.33000,30808.00000
0.37000,0.00000,0.00000,2.51000,2.37000,2.32000,2.33000,22696.00000
0.37000,0.00000,0.01000,2.59000,2.45000,2.31000,2.32000,14528.00000
0.38000,0.00000,0.01000,2.54000,2.51000,2.29000,2.32000,6384.00000
0.38000,0.00000,0.01000,2.43000,2.37000,2.29000,2.32000,-1736.00000
0.39000,0.00000,0.01000,2.45000,2.45000,2.29000,2.31000,-9848.00000
0.40000,0.00000,0.00000,2.23000,2.51000,2.29000,2.31000,-17872.00000
0.40000,0.00000,-0.00000,1.90000,2.29000,2.31000,2.32000,-26020.00000
0.41000,0.00000,-0.01000,2.26000,2.34000,2.33000,2.32000,31364.00000
0.41000,0.00000,-0.01000,2.06000,2.20000,2.32000,2.31000,23256.00000
0.42000,0.00000,-0.00000,2.45000,2.09000,2.32000,2.30000,15112.00000
0.42000,0.00000,0.00000,2.34000,2.12000,2.33000,2.33000,7004.00000
0.43000,0.00000,0.01000,2.26000,2.09000,2.31000,2.32000,-1092.00000
0.43000,0.00000,0.01000,2.43000,2.15000,2.30000,2.32000,-9192.00000
0.44000,0.00000,0.01000,2.29000,2.31000,2.27000,2.31000,-17284.00000
0.44000,0.00000,0.01000,2.29000,2.31000,2.28000,2.31000,-25440.00000
0.45000,0.00000,0.01000,2.37000,2.45000,2.28000,2.31000,31964.00000
0.45000,0.00000,0.00000,2.17000,2.40000,2.29000,2.31000,23828.00000
0.46000,0.00000,0.00000,2.17000,2.29000,2.31000,2.32000,15696.00000
0.47000,0.00000,0.00000,2.45000,2.37000,2.31000,2.32000,7552.00000
0.47000,0.00000,-0.00000,2.31000,2.59000,2.31000,2.32000,-516.00000
0.48000,0.00000,-0.00000,2.42000,2.51000,2.33000,2.33000,-8572.00000
0.48000,0.00000,-0.00000,2.48000,2.48000,2.33000,2.32000,-16668.00000
0.49000,0.00000,-0.01000,2.40000,2.54000,2.33000,2.32000,-24792.00000
0.49000,0.00000,-0.01000,2.45000,2.51000,2.32000,2.31000,32564.00000
0.50000,0.00000,-0.01000,2.31000,2.45000,2.32000,2.31000,24440.00000
0.51000,0.00000,-0.02000,1.98000,2.45000,2.32000,2.29000,16312.00000
0.51000,0.00000,-0.02000,2.15000,2.09000,2.30000,2.25000,8176.00000
0.52000,0.00000,-0.02000,2.12000,2.15000,2.30000,2.25000,84.00000
0.52000,0.00000,-0.02000,2.26000,2.15000,2.30000,2.25000,-7904.00000
0.53000,0.00000,-0.01000,2.43000,2.12000,2.30000,2.26000,-16000.00000
0.53000,0.00000,-0.01000,2.29000,2.37000,2.32000,2.29000,-24132.00000
0.54000,0.00000,-0.01000,2.37000,2.23000,2.31000,2.28000,-32292.00000
0.54000,0.00000,-0.00000,2.37000,2.15000,2.32000,2.30000,25104.00000
0.55000,0.00000,-0.00000,2.20000,2.15000,2.32000,2.31000,16996.00000
0.55000,0.00000,0.00000,2.40000,2.12000,2.33000,2.32000,8860.00000
0.56000,0.00000,-0.00000,2.17000,2.26000,2.32000,2.33000,780.00000
0.56000,0.00000,0.00000,2.45000,2.26000,2.33000,2.33000,-7264.00000
0.57000,0.00000,0.01000,2.68000,2.42000,2.31000,2.32000,-15376.00000
0.58000,0.00000,0.01000,2.48000,2.48000,2.29000,2.31000,-23524.00000
0.58000,0.00000,0.01000,2.56000,2.51000,2.29000,2.31000,-31648.00000
0.59000,0.00000,0.01000,2.56000,2.45000,2.28000,2.31000,25752.00000
0.59000,0.00000,0.01000,2.31000,2.34000,2.27000,2.31000,17608.00000
0.60000,0.00000,0.01000,2.09000,2.37000,2.27000,2.31000,9444.00000
0.60000,0.00000,-0.00000,2.12000,2.56000,2.30000,2.32000,1356.00000
0.61000,0.00000,-0.01000,2.01000,2.42000,2.33000,2.32000,-6684.00000
0.62000,0.00000,-0.01000,2.15000,2.23000,2.31000,2.29000,-14792.00000
0.62000,0.00000,-0.01000,2.23000,2.03000,2.31000,2.28000,-22928.00000
0.63000,0.00000,-0.00000,2.31000,2.09000,2.32000,2.30000,-31076.00000
0.63000,0.00000,0.01000,2.40000,1.84000,2.33000,2.32000,26352.00000
0.64000,0.00000,0.01000,2.26000,1.98000,2.30000,2.32000,18216.00000
0.64000,0.00000,0.01000,2.15000,2.26000,2.27000,2.31000,10088.00000
0.65000,0.00000,0.00000,2.15000,2.40000,2.28000,2.31000,1940.00000
0.65000,0.00000,-0.00000,2.09000,2.48000,2.30000,2.32000,-6176.00000
0.66000,0.00000,-0.00000,2.43000,2.51000,2.33000,2.32000,-14272.00000
0.66000,0.00000,-0.01000,2.40000,2.48000,2.33000,2.32000,-22416.00000
0.67000,0.00000,-0.01000,2.34000,2.51000,2.32000,2.31000,-30564.00000
0.68000,0.00000,-0.01000,2.59000,2.45000,2.32000,2.30000,26820.00000
0.68000,0.00000,-0.01000,2.54000,2.51000,2.32000,2.31000,18648.00000
0.69000,0.00000,-0.01000,2.34000,2.62000,2.32000,2.31000,10512.00000
0.69000,0.00000,-0.01000,2.48000,2.42000,2.31000,2.29000,2356.00000
0.70000,0.00000,-0.01000,2.42000,2.31000,2.32000,2.29000,-5744.00000
0.70000,0.00000,-0.01000,2.23000,2.45000,2.32000,2.30000,-13860.00000
0.71000,0.00000,-0.02000,2.15000,2.37000,2.31000,2.28000,-21972.00000
0.71000,0.00000,-0.02000,1.98000,2.29000,2.30000,2.26000,-30124.00000
0.72000,0.00000,-0.02000,2.23000,2.29000,2.28000,2.23000,27296.00000
0.73000,0.00000,-0.02000,2.29000,2.01000,2.28000,2.22000,19144.00000
0.73000,0.00000,-0.02000,2.37000,2.29000,2.30000,2.25000,11028.00000
0.74000,0.00000,-0.01000,2.37000,1.98000,2.30000,2.26000,2888.00000
0.74000,0.00000,-0.01000,2.26000,2.15000,2.32000,2.29000,-5208.00000
0.75000,0.00000,-0.01000,2.12000,2.15000,2.32000,2.30000,-13304.00000
0.75000,0.00000,-0.00000,2.29000,2.01000,2.32000,2.30000,-21440.00000
0.76000,0.00000,-0.00000,2.17000,2.20000,2.33000,2.32000,-29552.00000
0.76000,0.00000,-0.00000,2.31000,2.23000,2.33000,2.32000,27828.00000
0.77000,0.00000,0.00000,2.42000,2.29000,2.33000,2.33000,19712.00000
0.77000,0.00000,0.00000,2.40000,2.40000,2.32000,2.33000,11556.00000
0.78000,0.00000,0.00000,2.56000,2.40000,2.32000,2.33000,3460.00000
0.79000,0.00000,0.01000,2.59000,2.42000,2.31000,2.32000,-4608.00000
0.79000,0.00000,0.01000,2.48000,2.51000,2.29000,2.32000,-12732.00000
0.80000,0.00000,0.01000,2.45000,2.40000,2.29000,2.32000,-20888.00000
0.80000,0.00000,0.01000,2.42000,2.42000,2.29000,2.31000,-29012.00000
0.81000,0.00000,0.00000,2.06000,2.34000,2.29000,2.31000,28448.00000
0.81000,0.00000,-0.00000,2.20000,2.45000,2.31000,2.32000,20280.00000
0.82000,0.00000,-0.00000,2.31000,2.34000,2.33000,2.33000,12180.00000
0.82000,0.00000,-0.01000,2.17000,2.34000,2.33000,2.32000,4040.00000
0.83000,0.00000,-0.00000,2.40000,2.23000,2.32000,2.31000,-4060.00000
0.84000,0.00000,-0.00000,2.20000,2.20000,2.33000,2.32000,-12152.00000
0.84000,0.00000,-0.01000,2.01000,2.20000,2.33000,2.32000,-20244.00000
0.85000,0.00000,-0.00000,2.17000,2.12000,2.32000,2.31000,-28388.00000
0.85000,0.00000,-0.01000,2.06000,2.31000,2.32000,2.31000,29016.00000
0.86000,0.00000,-0.01000,2.29000,2.17000,2.32000,2.29000,20892.00000
0.86000,0.00000,-0.01000,2.26000,2.34000,2.32000,2.30000,12744.00000
0.87000,0.00000,-0.01000,2.34000,2.37000,2.32000,2.29000,4600.00000
0.87000,0.00000,-0.01000,2.42000,2.29000,2.32000,2.29000,-3496.00000
0.88000,0.00000,-0.01000,2.29000,2.45000,2.32000,2.30000,-11592.00000
0.88000,0.00000,-0.01000,2.37000,2.54000,2.31000,2.29000,-19716.00000
0.89000,0.00000,-0.01000,2.42000,2.45000,2.31000,2.27000,-27908.00000
0.90000,0.00000,-0.02000,2.48000,2.54000,2.31000,2.27000,29504.00000
0.90000,0.00000,-0.01000,2.51000,2.34000,2.30000,2.26000,21356.00000
0.91000,0.00000,-0.01000,2.45000,2.26000,2.31000,2.28000,13212.00000
0.91000,0.00000,-0.01000,2.23000,2.40000,2.32000,2.30000,5072.00000
0.92000,0.00000,-0.02000,1.95000,2.29000,2.31000,2.28000,-3016.00000
0.92000,0.00000,-0.02000,1.98000,2.17000,2.30000,2.25000,-11120.00000
0.93000,0.00000,-0.02000,2.26000,2.12000,2.28000,2.23000,-19252.00000
0.93000,0.00000,-0.01000,2.45000,1.95000,2.29000,2.24000,-27396.00000
0.94000,-0.00000,-0.01000,2.45000,2.26000,2.31000,2.29000,30004.00000
0.94000,-0.00000,-0.00000,2.42000,2.17000,2.32000,2.31000,21844.00000
0.95000,-0.00000,0.01000,2.45000,2.15000,2.33000,2.33000,13704.00000
0.96000,-0.00000,0.00000,2.20000,2.26000,2.31000,2.32000,5564.00000
0.96000,-0.00000,0.01000,2.40000,2.17000,2.31000,2.32000,-2532.00000
0.97000,0.00000,0.01000,2.42000,2.26000,2.29000,2.32000,-10616.00000
0.97000,0.00000,0.01000,2.26000,2.17000,2.28000,2.31000,-18760.00000
0.98000,0.00000,0.02000,2.62000,2.43000,2.27000,2.31000,-26928.00000
0.98000,0.00000,0.02000,2.54000,2.45000,2.25000,2.30000,30496.00000
0.99000,0.00000,0.02000,2.65000,2.48000,2.24000,2.29000,22328.00000
