X,Y,Theta,Setpoint VD,Setpoint VE,VD,VE,tempo
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,4504.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,-3188.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,-10864.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,-18608.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,-26344.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,31472.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,23728.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,16012.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,8284.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,616.00000
0.00000,0.00000,0.00000,0.01000,0.00000,2.33000,2.33000,-7032.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,-14820.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,-22624.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,-30420.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,27328.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,19532.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,11748.00000
0.00000,0.00000,0.00000,0.01000,0.00000,2.33000,2.33000,3964.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,-3928.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.33000,2.33000,-11672.00000
0.00000,0.00000,0.00000,0.06000,0.00000,2.33000,2.33000,-19480.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.32000,2.33000,-27416.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.32000,2.33000,30336.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.32000,2.33000,22556.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.32000,2.33000,14776.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.32000,2.33000,6996.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.32000,2.33000,-744.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.32000,2.33000,-8436.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.32000,2.33000,-16184.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.32000,2.33000,-23964.00000
0.00000,0.00000,0.00000,0.00000,0.00000,2.32000,2.33000,-31760.00000
